SiteCode;SiteStatus
61402088;Closed
61402376;Closed
61402907;Closed
61402598;Closed
61402380;Closed
61401567;Closed
61401824;Closed
61470911;Closed
61402057;Closed
61402011;Closed
61477127;Closed
61401380;Closed
61401453;Closed
61470149;Closed
61477621;Closed
61402899;Closed
61470095;Closed
61401101;Closed
61477085;Closed
61477130;Closed
61402771;Closed
61402349;Closed
61402485;Closed
61401815;Closed
61401997;Closed
61402680;Closed
61401918;Closed
61402054;Closed
61470966;Closed
61470122;Closed
61402481;Closed
61401825;Closed
61401063;Closed
61401052;Closed
61401978;Closed
61470505;Closed
61401908;Closed
61402900;Closed
61401298;Closed
61401023;Closed
61401863;Closed
61401124;Closed
61402656;Closed
61477081;Closed
61470253;Closed
61477933;Closed
61401777;Closed
61470189;Closed
61402874;Closed
61401797;Closed
61290151;Active
61291313;Active
61401007;Active
61401008;Active
61401010;Active
61401011;Active
61401013;Active
61401014;Active
61401015;Active
61401017;Active
61401019;Active
61401020;Active
61401024;Active
61401025;Active
61401027;Active
61401029;Active
61401030;Active
61401031;Active
61401033;Active
61401035;Active
61401038;Active
61401039;Active
61401044;Active
61401046;Active
61401047;Active
61401051;Active
61401053;Active
61401054;Active
61401057;Active
61401061;Active
61401062;Active
61401064;Active
61401067;Active
61401068;Active
61401080;Active
61401083;Active
61401090;Active
61401092;Active
61401094;Active
61401106;Active
61401110;Active
61401117;Active
61401118;Active
61401119;Active
61401126;Active
61401128;Active
61401131;Active
61401132;Active
61401134;Active
61401136;Active
61401137;Active
61401138;Active
61401140;Active
61401142;Active
61401147;Active
61401148;Active
61401149;Active
61401150;Active
61401153;Active
61401155;Active
61401156;Active
61401157;Active
61401159;Active
61401160;Active
61401166;Active
61401167;Active
61401170;Active
61401171;Active
61401172;Active
61401173;Active
61401177;Active
61401180;Active
61401183;Active
61401185;Active
61401188;Active
61401189;Active
61401195;Active
61401197;Active
61401199;Active
61401200;Active
61401206;Active
61401210;Active
61401212;Active
61401218;Active
61401221;Active
61401223;Active
61401224;Active
61401225;Active
61401227;Active
61401228;Active
61401229;Active
61401234;Active
61401235;Active
61401238;Active
61401246;Active
61401248;Active
61401249;Active
61401250;Active
61401252;Active
61401254;Active
61401257;Active
61401258;Active
61401261;Active
61401263;Active
61401264;Active
61401265;Active
61401268;Active
61401272;Active
61401275;Active
61401276;Active
61401279;Active
61401280;Active
61401281;Active
61401282;Active
61401288;Active
61401291;Active
61401292;Active
61401296;Active
61401301;Active
61401302;Active
61401307;Active
61401309;Active
61401316;Active
61401323;Active
61401324;Active
61401325;Active
61401328;Active
61401329;Active
61401330;Active
61401334;Active
61401341;Active
61401343;Active
61401344;Active
61401347;Active
61401348;Active
61401349;Active
61401353;Active
61401356;Active
61401357;Active
61401359;Active
61401365;Active
61401366;Active
61401367;Active
61401371;Active
61401373;Active
61401375;Active
61401377;Active
61401378;Active
61401382;Active
61401386;Active
61401391;Active
61401393;Active
61401398;Active
61401399;Active
61401406;Active
61401409;Active
61401411;Active
61401413;Active
61401417;Active
61401421;Active
61401422;Active
61401426;Active
61401427;Active
61401428;Active
61401431;Active
61401436;Active
61401438;Active
61401440;Active
61401441;Active
61401443;Active
61401444;Active
61401445;Active
61401446;Active
61401447;Active
61401448;Active
61401450;Active
61401457;Active
61401460;Active
61401461;Active
61401462;Active
61401471;Active
61401472;Active
61401473;Active
61401474;Active
61401477;Active
61401478;Active
61401479;Active
61401480;Active
61401483;Active
61401485;Active
61401487;Active
61401489;Active
61401492;Active
61401496;Active
61401500;Active
61401502;Active
61401503;Active
61401506;Active
61401507;Active
61401508;Active
61401510;Active
61401512;Active
61401514;Active
61401517;Active
61401520;Active
61401523;Active
61401524;Active
61401530;Active
61401531;Active
61401534;Active
61401535;Active
61401537;Active
61401541;Active
61401543;Active
61401544;Active
61401545;Active
61401546;Active
61401547;Active
61401550;Active
61401551;Active
61401554;Active
61401555;Active
61401559;Active
61401560;Active
61401561;Active
61401568;Active
61401569;Active
61401571;Active
61401587;Active
61401588;Active
61401590;Active
61401591;Active
61401597;Active
61401598;Active
61401599;Active
61401602;Active
61401603;Active
61401604;Active
61401605;Active
61401606;Active
61401607;Active
61401610;Active
61401613;Active
61401616;Active
61401617;Active
61401620;Active
61401621;Active
61401625;Active
61401641;Active
61401642;Active
61401643;Active
61401646;Active
61401654;Active
61401656;Active
61401658;Active
61401670;Active
61401676;Active
61401679;Active
61401680;Active
61401682;Active
61401683;Active
61401684;Active
61401685;Active
61401686;Active
61401687;Active
61401690;Active
61401691;Active
61401693;Active
61401696;Active
61401700;Active
61401701;Active
61401703;Active
61401707;Active
61401710;Active
61401711;Active
61401712;Active
61401713;Active
61401714;Active
61401718;Active
61401722;Active
61401723;Active
61401725;Active
61401727;Active
61401728;Active
61401729;Active
61401733;Active
61401734;Active
61401736;Active
61401737;Active
61401738;Active
61401739;Active
61401741;Active
61401743;Active
61401744;Active
61401745;Active
61401746;Active
61401748;Active
61401749;Active
61401750;Active
61401752;Active
61401753;Active
61401754;Active
61401755;Active
61401756;Active
61401757;Active
61401758;Active
61401759;Active
61401760;Active
61401761;Active
61401762;Active
61401763;Active
61401764;Active
61401765;Active
61401766;Active
61401767;Active
61401768;Active
61401769;Active
61401770;Active
61401772;Active
61401773;Active
61401774;Active
61401775;Active
61401778;Active
61401779;Active
61401780;Active
61401781;Active
61401782;Active
61401783;Active
61401784;Active
61401786;Active
61401787;Active
61401788;Active
61401791;Active
61401792;Active
61401794;Active
61401795;Active
61401796;Active
61401798;Active
61401799;Active
61401801;Active
61401802;Active
61401806;Active
61401807;Active
61401809;Active
61401810;Active
61401811;Active
61401816;Active
61401817;Active
61401819;Active
61401820;Active
61401822;Active
61401828;Active
61401830;Active
61401831;Active
61401832;Active
61401836;Active
61401837;Active
61401839;Active
